Estacion,Tipo dia,Descripcio_causa_mediata,Descripcio_torn,Descripcio_tipus_accident,Tipo_vehiculo,Genero,Edad
Primavera,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision fronto-lateral,Motocicleta,Dona,[18;33]
Primavera,Laborable,Desobeir altres senyals,Tarda,Colision lateral,Veh. Mobilidad personal con o sin motor,Dona,[34;50]
Primavera,No laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Bicicleta,Home,[34;50]
Verano,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[51;70]
Otono,Laborable,Manca d'atencio a la conduccio,Tarda,Caiguda (dues rodes),Motocicleta,Home,[34;50]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Colision lateral,Bicicleta,Home,[18;33]
Verano,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50]
Verano,Laborable,Altres,Tarda,Caiguda (dues rodes),Veh. Mobilidad personal con o sin motor,Dona,[18;33]
Primavera,Laborable,No determinada,Tarda,Abast,Motocicleta,Home,[51;70]
Primavera,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Home,[18;33]
Primavera,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Turisme,Home,[34;50]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[34;50]
Invierno,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Dona,[34;50]
Verano,Laborable,No determinada,Tarda,Colision lateral,Motocicleta,Dona,[18;33]
Primavera,No laborable,Adelantamiento improcedente,Mati,Colision lateral,Motocicleta,Home,[18;33]
Otono,Laborable,Altres,Tarda,Altres,Veh. Mobilidad personal con o sin motor,Home,[18;33]
Verano,Laborable,No determinada,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Dona,[34;50]
Verano,No laborable,Manca d'atencio a la conduccio,Nit,Colision lateral,Motocicleta,Home,[34;50]
Verano,Laborable,Canvi de carril sense precaucio,Nit,Caiguda (dues rodes),Motocicleta,Home,[18;33]
Invierno,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Home,[18;33]
Invierno,Laborable,Manca d'atencio a la conduccio,Mati,Colision lateral,Turisme,Home,[34;50]
Primavera,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Home,[51;70]
Otono,No laborable,Gir indegut o sense precaucio,Tarda,Persecucion,Motocicleta,Home,[18;33]
Invierno,Laborable,Desobeir altres senyals,Mati,Colision lateral,Motocicleta,Home,[34;50]
Invierno,No laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Bicicleta,Home,[51;70]
Invierno,Laborable,Altres,Tarda,Colision fronto-lateral,Motocicleta,Dona,[51;70]
Verano,No laborable,No determinada,Mati,Colision frontal,Bicicleta,Home,[18;33]
Otono,Laborable,Desobeir altres senyals,Mati,Colision lateral,Motocicleta,Home,[51;70]
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50]
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Dona,[51;70]
Otono,Laborable,Adelantamiento improcedente,Nit,Colision lateral,Motocicleta,Home,[18;33]
Verano,No laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Home,[34;50]
Verano,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[51;70]
Verano,Laborable,No determinada,Nit,Xoc contra element estatic,Bicicleta,Dona,[18;33]
Verano,Laborable,No respectat pas de vianants,Tarda,Atropellament,Motocicleta,Dona,[51;70]
Otono,Laborable,No determinada,Tarda,Colision lateral,Motocicleta,Home,[18;33]
Invierno,Laborable,Desobeir samoforo,Tarda,Bolcada (m̩s de dues rodes),Motocicleta,Home,[34;50]
Verano,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision fronto-lateral,Motocicleta,Home,[34;50]
Otono,Laborable,Desobeir altres senyals,Nit,Abast,Motocicleta,Home,[34;50]
Primavera,Laborable,No respectar distancies,Mati,Abast multiple,Motocicleta,Home,[51;70]
Otono,No laborable,Desobeir samoforo,Tarda,Atropellament,Bicicleta,Home,Menor
Verano,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[51;70]
Invierno,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50]
Verano,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Dona,[51;70]
Primavera,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[51;70]
Verano,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Dona,[18;33]
Otono,Laborable,No respectar distancies,Tarda,Colision lateral,Turisme,Home,[34;50]
Otono,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Turisme,Home,[34;50]
Primavera,Laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Dona,[34;50]
Invierno,Laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Turisme,Home,[34;50]
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Turisme,Home,[34;50]
Otono,Laborable,Manca d'atencio a la conduccio,Nit,Xoc contra element estatic,Furgoneta,Home,[34;50]
Otono,Laborable,Manca d'atencio a la conduccio,Mati,Caiguda (dues rodes),Veh. Mobilidad personal con o sin motor,Home,[18;33]
Invierno,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[34;50]
Otono,No laborable,No determinada,Nit,Caiguda (dues rodes),Motocicleta,Home,[34;50]
Invierno,Laborable,Canvi de carril sense precaucio,Nit,Colision lateral,Motocicleta,Home,[18;33]
Invierno,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[18;33]
Invierno,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Home,[18;33]
Verano,Laborable,No respectar distancies,Mati,Abast,Furgoneta,Home,[34;50]
