Estacion,Tipo dia,Descripcio_causa_mediata,Descripcio_torn,Descripcio_tipus_accident,Tipo_vehiculo,Genero,Edad,Barrio
Verano,Laborable,Gir indegut o sense precaucio,Mati,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33],la Nova Esquerra de l'Eixample
Verano,Laborable,Altres,Tarda,Colision fronto-lateral,Motocicleta,Dona,[34;50],el Besos i el Maresme
Primavera,No laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Bicicleta,Home,[34;50],el Barri Gotic
Invierno,Laborable,Manca d'atencio a la conduccio,Nit,Caiguda (dues rodes),Motocicleta,Dona,[34;50],la Marina del Prat Vermell
Invierno,Laborable,Gir indegut o sense precaucio,Tarda,Colision frontal,Motocicleta,Home,[51;70],Desconegut
Primavera,Laborable,Altres,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Home,[18;33],Porta
Invierno,No laborable,Manca precaucio incorporacio circulacio,Tarda,Caiguda (dues rodes),Motocicleta,Home,[34;50],Porta
Otono,No laborable,Manca d'atencio a la conduccio,Tarda,Colision lateral,Bicicleta,Dona,[51;70],Sant Marti de Provencals
Verano,No laborable,Altres,Mati,Caiguda (dues rodes),Motocicleta,Dona,[18;33],les Corts
Primavera,No laborable,Gir indegut o sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[51;70],Pedralbes
Primavera,Laborable,No determinada,Tarda,Colision frontal,Bicicleta,Dona,[18;33],la Maternitat i Sant Ramon
Primavera,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision fronto-lateral,Motocicleta,Dona,[18;33],Sant Gervasi - Galvany
Primavera,Laborable,Desobeir altres senyals,Tarda,Colision lateral,Veh. Mobilidad personal con o sin motor,Dona,[34;50],la Nova Esquerra de l'Eixample
Primavera,No laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Bicicleta,Home,[34;50],la Dreta de l'Eixample
Verano,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[51;70],Sants
Otono,Laborable,Manca d'atencio a la conduccio,Tarda,Caiguda (dues rodes),Motocicleta,Home,[34;50],l'Antiga Esquerra de l'Eixample
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Colision lateral,Bicicleta,Home,[18;33],Sant Andreu
Verano,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50],el Baix Guinardo
Verano,Laborable,Altres,Tarda,Caiguda (dues rodes),Veh. Mobilidad personal con o sin motor,Dona,[18;33],Porta
Primavera,Laborable,No determinada,Tarda,Abast,Motocicleta,Home,[51;70],el Barri Gotic
Primavera,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Home,[18;33],Sant Gervasi - Galvany
Primavera,Laborable,Manca d'atencio a la conduccio,Mati,Abast,Turisme,Home,[34;50],Pedralbes
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[34;50],el Fort Pienc
Invierno,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Dona,[34;50],les Tres Torres
Verano,Laborable,No determinada,Tarda,Colision lateral,Motocicleta,Dona,[18;33],Sant Gervasi - la Bonanova
Primavera,No laborable,Adelantamiento improcedente,Mati,Colision lateral,Motocicleta,Home,[18;33],la Dreta de l'Eixample
Otono,Laborable,Altres,Tarda,Altres,Veh. Mobilidad personal con o sin motor,Home,[18;33],Can Peguera
Verano,Laborable,No determinada,Tarda,Colision fronto-lateral,Veh. Mobilidad personal con o sin motor,Dona,[34;50],Sant Andreu
Verano,No laborable,Manca d'atencio a la conduccio,Nit,Colision lateral,Motocicleta,Home,[34;50],el Baix Guinardo
Verano,Laborable,Canvi de carril sense precaucio,Nit,Caiguda (dues rodes),Motocicleta,Home,[18;33],el Putxet i el Farro
Invierno,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Home,[18;33],l'Antiga Esquerra de l'Eixample
Invierno,Laborable,Manca d'atencio a la conduccio,Mati,Colision lateral,Turisme,Home,[34;50],Sant Antoni
Primavera,Laborable,Gir indegut o sense precaucio,Mati,Colision lateral,Motocicleta,Home,[51;70],Diagonal Mar i el Front Maritim del Poblenou
Otono,No laborable,Gir indegut o sense precaucio,Tarda,Persecucion,Motocicleta,Home,[18;33],"Sant Pere, Santa Caterina i la Ribera"
Invierno,Laborable,Desobeir altres senyals,Mati,Colision lateral,Motocicleta,Home,[34;50],la Marina de Port
Invierno,No laborable,Desobeir samoforo,Tarda,Colision fronto-lateral,Bicicleta,Home,[51;70],la Dreta de l'Eixample
Invierno,Laborable,Altres,Tarda,Colision fronto-lateral,Motocicleta,Dona,[51;70],la Dreta de l'Eixample
Verano,No laborable,No determinada,Mati,Colision frontal,Bicicleta,Home,[18;33],la Verneda i la Pau
Otono,Laborable,Desobeir altres senyals,Mati,Colision lateral,Motocicleta,Home,[51;70],el Fort Pienc
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50],el Fort Pienc
Otono,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Dona,[51;70],la Dreta de l'Eixample
Otono,Laborable,Adelantamiento improcedente,Nit,Colision lateral,Motocicleta,Home,[18;33],Sant Gervasi - Galvany
Verano,No laborable,Manca d'atencio a la conduccio,Mati,Abast,Motocicleta,Home,[34;50],Hostafrancs
Verano,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[51;70],el Carmel
Verano,Laborable,No determinada,Nit,Xoc contra element estatic,Bicicleta,Dona,[18;33],Sant Gervasi - Galvany
Verano,Laborable,No respectat pas de vianants,Tarda,Atropellament,Motocicleta,Dona,[51;70],la Salut
Otono,Laborable,No determinada,Tarda,Colision lateral,Motocicleta,Home,[18;33],la Salut
Invierno,Laborable,Desobeir samoforo,Tarda,Bolcada (mes de dues rodes),Motocicleta,Home,[34;50],la Teixonera
Verano,Laborable,Manca precaucio incorporacio circulacio,Tarda,Colision fronto-lateral,Motocicleta,Home,[34;50],la Dreta de l'Eixample
Otono,Laborable,Desobeir altres senyals,Nit,Abast,Motocicleta,Home,[34;50],la Verneda i la Pau
Primavera,Laborable,No respectar distancies,Mati,Abast multiple,Motocicleta,Home,[51;70],el Parc i la Llacuna del Poblenou
Otono,No laborable,Desobeir samoforo,Tarda,Atropellament,Bicicleta,Home,Menor,el Parc i la Llacuna del Poblenou
Verano,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[51;70],el Camp de l'Arpa del Clot
Invierno,Laborable,No respectar distancies,Tarda,Abast,Motocicleta,Home,[34;50],el Guinardo
Verano,Laborable,No respectar distancies,Mati,Abast,Motocicleta,Dona,[51;70],l'Antiga Esquerra de l'Eixample
Primavera,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Motocicleta,Home,[51;70],la Dreta de l'Eixample
Verano,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Dona,[18;33],l'Antiga Esquerra de l'Eixample
Otono,Laborable,No respectar distancies,Tarda,Colision lateral,Turisme,Home,[34;50],l'Antiga Esquerra de l'Eixample
Otono,Laborable,Canvi de carril sense precaucio,Tarda,Colision lateral,Turisme,Home,[34;50],l'Antiga Esquerra de l'Eixample
Primavera,Laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Motocicleta,Dona,[34;50],Hostafrancs
Invierno,Laborable,Canvi de carril sense precaucio,Mati,Colision lateral,Turisme,Home,[34;50],la Sagrada Familia
Primavera,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Turisme,Home,[34;50],el Guinardo
Otono,Laborable,Manca d'atencio a la conduccio,Nit,Xoc contra element estatic,Furgoneta,Home,[34;50],la Dreta de l'Eixample
Otono,Laborable,Manca d'atencio a la conduccio,Mati,Caiguda (dues rodes),Veh. Mobilidad personal con o sin motor,Home,[18;33],la Marina de Port
Invierno,Laborable,Manca d'atencio a la conduccio,Tarda,Abast,Motocicleta,Home,[34;50],Provencals del Poblenou
Otono,No laborable,No determinada,Nit,Caiguda (dues rodes),Motocicleta,Home,[34;50],la Sagrada Familia
